writeFailed "错误:  游戏文件夹只读"
sister "姐妹"

aunt "姨妈"
uncle "舅舅"

niece "侄女"
nephew "侄子"

cousin "表亲"

1th "大"
2th "二"
3th "三"
4th "四"
5th "五"
6th "六"
7th "七"
8th "八"
9th "九"
10th "十"
11th "十一"
12th "十二"
13th "十三"
14th "十四"
15th "十五"
16th "十六"
17th "十七"
18th "十八"
19th "十九"
20th "二十"
twenty "二十"

distant "远房"

removed "辈分"
1Times "差一个"
2Times "差两个"
3Times "差三个"
4Times "差四个"
5Times "差五个"
6Times "差六个"
7Times "差七个"
8Times "差八个"
9Times "差九个"
manyTimes "差许多"


unrelated "没有血缘关系"



youDied "你死了"

deathAgeOne "享年:  1岁"
deathAge "享年:  %d 岁"

reasonDisconnected "死因:  失去同步"

reasonHunger "死因:  饿死"

reasonNursingHunger "死因:  没人喂奶"

reasonKilled "死因:  死于"

reasonKilledUnknown "死因:  死于未知武器"

reasonOldAge "死因:  年老"

reasonUnknown "死因:  未知"

reasonApocalypse "死因:  世界末日"


okay "好吧"
quit "不玩了"

reborn "投胎再来"


tutorial "教程"
restartTutorial "重玩教程"

menu "菜单"


bugMessage1a "出现bug!####结束后,##请把最新录制的游戏文件用邮件发送报告bug:"

bugMessage1b "出现bug!####结束后,##请用邮件把闻新录制的游戏文件##和STDOUT.TXT文件发送:"

bugMessage1c "出现bug!####结束后,##请退出游戏，把STDOUT.txt文件用邮件发送报告bug:"


bugMessage2 "请按[%]键继续游戏"





tutorial_1 "你还没有参与游戏.##这是一个教程. 点击鼠标左键开始移动"


tutorial_1001 "教程有15分钟.你将学到很酷的东西,##并且会有一些惊喜给你."

tutorial_1002 "警告:这个就像真正的游戏一样.##如果你不小心，你可能会死在这里!"


tutorial_2 "导航是自动的, 即使是复杂的障碍物也是如此.打开##门, 然后点击浆果丛得到浆果."

tutorial_3 "饥饿意味着死亡。点击浆果丛捡拾浆果.##点击自已可以吃浆果.继续吃浆果直到吃饱."

tutorial_4 "点击并保持按住屏幕边缘##走这个方向.这适用于长途旅行."

tutorial_5 "单击树枝将其拾起.##单击前面的岩石，尝试在岩石上使用树枝."

tutorial_6 "不，什么都没发生.查看标签页内容.##树枝不在岩石的可工作列表中."

tutorial_601 "肚子饿了么?##右键单击一个空的地块以放置树枝."

tutorial_7 "做一块锋利的石头.##随身携带."



tutorial_8 "标签页显示锐利的石头对许多东西都有效.##CTRL-TAB用于更大的页面跳转.  SHIFT-TAB页后退."

tutorial_8_steam "标签页显示锐利的石头对许多东西都有效.##CTRL-TAB用于更大的页面跳转. Z-TAB页后退."




tutorial_9 "你现在可能很饿.##这些比浆果更难吃."

tutorial_10 "一系列独特的食物增加了你的食物表##以上的各种奖励乘数.吃“meh”食物会破坏食物链."

tutorial_1010 "我知道，这有点难以理解.##吃东西前，在你的食物表上注意“yum”和“meh”"

tutorial_1011 "一种单一的饮食比多种多样的饮食效率要低得多.##但是，很多时间别无选择."



tutorial_11 "做一个篮子.右键点篮子##把锋利的石头放进去.带上篮子."

tutorial_1101 "很难看到，但这里有一个垂直的门.##点击打开门.注意前面还有更多垂直的门."


tutorial_12 "放下篮子,然后右击移除石头.##在篮子里放些食物,随身携带."


tutorial_1201 "在一个区域工作时，按住[空格键]以冻结相机.##现在你可以不用对着摄像机开火了."

tutorial_1202 "释放[空格键]以解冻相机.##当您行走时，相机将自动恢复移动."



tutorial_13 "当你的体温计在中间的时候，你消耗食物的速度会慢一些.##太冷或太热会加速饥饿."

tutorial_14 "墙壁和地板在更大的区域内保持热量.##关闭门以防止热量泄漏."


tutorial_15 "寒冷地区会显著增加你的饥饿率.##拿衣服的时候,点击自己来穿."


tutorial_16 "温暖的衣服会导致热的地方过热.##脱掉衣服冷却.单击“磨损的衣服”将其删除."


tutorial_17 "按[Enter]并键入,然后再次按[Enter]进行对话.##随着年龄的增长,你可以说越来越长的短语."

tutorial_18 "按[Enter]再次讲话，或按[Up arrow]和##[向下箭头]循环浏览之前所说的短语."

tutorial_19 "说I AM Jones给自已起姓.##鼠标悬停在自己身上看你的名字."

tutorial_1921 "说You Are Sally，为你的被抱婴儿起名字.##(请稍后在游戏中有孩子时再试.)"



tutorial_1901 "拿着石头，然后说/hatch，然后按[enter]显示##只有带[标签]的图案填充制作步骤。一个更短的列表"

tutorial_1902 "输入/按回车键##回到完整的，未过滤的[标签]列表"


tutorial_20 "最后一个挑战：做一把斧头来劈火种.##让火势再次蔓延.点燃火炬."


tutorial_21 "教程完成。在你死后，你会生来就是真实的.##为了您的方便，提供了一个非常棒的RATTLESNAKES."



tutorial_2201 "你在这干什么?##回去点燃火炬 (前面写着“火炬”)."


tutorial_22 "这个走廊能解释更多的事情.##它是可选的，不会帮助您通过教程."


tutorial_23 "SAY CURSE SALLY JONES花费您的唯一CURSE TOKEN并添加到SALLY'S CURSE SCORE."

tutorial_24 "当你使用它的时候,你的诅咒符号会在游戏两小时后恢复##它出现在温度计附近."

tutorial_25 "如果SALLY的诅咒分数足够高,##她将在未来的生活中在出生时被标记出来."

tutorial_26 "每玩一个小时，每个人都会从诅咒分数中损失一分##所以救赎是可能的."

tutorial_27 "HMM..."

tutorial_2701 "此可选区域将无法帮助您通过教程.##请返回并点燃火炬."



tutorial_28 "去南方寻求暗示，但只有当你真的被困住的时候##除非你已经试了20分钟，否则你不能打开这扇门."



tutorial_29 "两条马利筋杆合成线.##两条线可以合成绳子."

tutorial_30 "用锋利的石头雕刻树枝两次.##你得到一个短的轴.(你有三个树枝，有三次机会.)"

tutorial_31 "把绳子系在轴的末端.##现在把锋利的石头放在系杆上.你做了一把斧头."

tutorial_32 "斧头可以用树枝引火.##把火种放在热煤上点火."

tutorial_33 "把一根长直杆插进火里.##你就会得到一个火种."

tutorial_34 "你可以用火把回去点燃火炬.##(提示：上面字面上写着“火炬”.)"






tutorial_99 "这是本教程的结尾.##当你死在这里之后，你将进入真正的游戏."




pauseMessage1 "真的不玩了?"

pauseMessage2 "按下 [ENTER] 取消"


pauseMessage3 "按下 [%] 退出"
pauseMessage3b "暂时还不能退出"

pauseMessage4 "-"



quitMessage "[ESC] 退出"



playbackTag           "回访 %:"
playbackToggleMessage "(按下 [%] 隐藏)"
playbackEndMessage    "(按下 [ESC] 结束)"


enterDemoCode  "输入演示代码:"
checkingCode  "正在通过服务器检查权限..."



responseWarning "无法连接到服务器##尝试重新连接 %d"


err_webRequest   "错误:  网页请求失败"
err_codeFailed  "演示代码被服务器拒绝"
err_serverVerifyFailed  "服务器返回结果无法认证"

err_badServerResponse  "错误:  未知错误"
